employee_id,punch_in_time,punch_out_time,total_logged_hours_day,late_arrival_flag,early_departure_flag,break_duration_minutes,biometric_match_score,punch_location,attendance_status,overtime_hours,late_start_count_per_week,early_exit_count_per_week,total_hours_per_week,variance_in_work_hours,absenteeism_rate,avg_daily_hours,punctuality_score,meeting_hours_per_week,meeting_counts_per_week,avg_meeting_duration_minutes,back_to_back_meetings_count,after_hours_meetings_count,meeting_accepted_ratio,meeting_organizer_count,meeting_attendee_count_avg,focus_time_hours_per_week,largest_meeting_attendees,recurring_meeting_percentage,messages_sent_per_day,messages_received_per_day,messages_sent_per_week,messages_received_per_week,avg_response_latency_min,communication_burstiness,after_hours_message_ratio,communication_balance,conversation_length_avg,channels_active_count,dm_vs_channel_ratio,emoji_reaction_count,mentions_received_count,message_edit_ratio,urgent_message_count,status_available_percentage,status_busy_percentage,status_away_percentage,status_dnd_percentage,avg_tasks_assigned_per_week,avg_tasks_completed_per_week,task_completion_rate,avg_task_age_days,overdue_task_ratio,overdue_task_count,in_progress_task_count,story_points_committed_per_week,story_points_completed_per_week,unique_projects_count,context_switching_score,logged_hours_per_week,logged_hours_per_day,worklog_entry_count_per_week,avg_worklog_session_duration,worklog_variance,billable_hours_percentage,github_commits_per_day,github_commits_per_week,github_commit_days_active,github_lines_added_per_week,github_lines_deleted_per_week,github_lines_changed_total,github_avg_commit_size,github_commit_message_length_avg,github_weekend_commit_ratio,github_prs_per_week,github_prs_merged_count,github_prs_open_count,github_pr_merge_rate,github_avg_pr_merge_time_hours,github_pr_comment_count_avg,github_pr_review_cycles_avg,github_pr_size_lines_avg,github_reviews_per_week,github_review_comments_given,github_review_approval_rate,github_review_response_time_hours,github_issues_created_per_week,github_issues_closed_per_week,github_issue_close_rate,github_repo_context_switching,github_activity_consistency,github_primary_repo_percentage,github_language_diversity,emails_sent_per_day,emails_received_per_day,email_response_rate,email_avg_response_time_hours,unread_email_count,emails_with_attachments_ratio,email_importance_high_ratio,email_thread_depth_avg,after_hours_email_ratio,calendar_fragmentation_score,deep_work_hours_per_week,collaboration_network_size,network_centrality_score,internal_external_comm_ratio,avg_Jira_ticket_resolution_time_days,jira_tickets_created_per_week,jira_tickets_closed_per_week,jira_ticket_reopen_rate,jira_bug_count_per_week,productivity_index,collaboration_score,focus_efficiency,multitasking_load,burnout_risk_score,work_life_balance_score,stress_indicator,workload_intensity,consistency_score,morning_activity_ratio,afternoon_activity_ratio,evening_activity_ratio,night_activity_ratio,weekend_work_ratio,Wellbeing Score,Overall Effciency score
E3590,2023-01-31 09:49:00,2023-01-31 19:23:16.438103,8.76,False,True,48.65,0.1683,Office-A,Absent,1.09,45,27,2.49,4.37,0.4324,1.46,0.4183,2.48,13,21.35,24,2.37,0.2927,57,18,2023-06-26 19:21:00,8,46.91,8,88,5,98,96.4,2.0,3.93,10,58.35,15,0.1914,33,70,0.0971,99,79.59,12.45,95.36,26.98,12.8,20.63,0.5565,6.55,0.2162,95,73,4,7,48,0.6137,7.67,6.18,9,3.12,-3.96,5.49,74,41,9,5,42,62,11.94,70.84,0.7299,7,58,96,0.9844,2023-06-16 14:36:00,32,46.37,68,5,2,0.1105,2023-03-24 21:56:00,2,9,0.5207,10,0.884,3.82,2,8,9,0.3605,2023-01-11 17:31:00,32,0.0805,0.8492,68.29,3.22,0.228,0.52,7,0.9666,0.4219,2023-01-18 08:31:00,7,5,0.5326,6,0,0.3401,10,7,0.8447,0.7974,10,4,0.3122,0.1414,0.9357,0.4867,0.5897,0.3095,6,0
E4972,2023-07-21 08:55:00,2023-07-21 17:23:00.932731,7.9,False,False,34.08,0.8238,Client-Site,On-Leave,7.41,17,72,6.14,1.19,0.9695,7.33,0.2732,1.55,74,81.38,8,4.7,0.3506,79,92,2023-12-24 04:58:00,9,26.04,75,52,51,11,31.46,3.64,2.45,2,47.27,51,0.0019,83,34,0.6584,69,26.25,76.6,59.29,86.74,24.97,80.31,0.2878,95.71,0.5288,5,7,1,10,68,0.4454,0.89,6.47,41,6.09,-3.24,3.72,96,8,6,17,17,95,56.33,66.32,0.1146,10,6,100,0.5154,2023-02-18 04:52:00,50,7.32,23,9,1,0.2405,2023-06-28 13:02:00,4,6,0.4334,10,0.7864,83.71,9,2,1,0.5898,2023-06-26 14:25:00,17,0.0747,0.7699,75.27,5.25,0.7888,1.03,3,0.0633,0.3252,2023-11-02 03:21:00,4,8,0.0057,63,3,0.0416,4,4,0.6992,0.6622,9,1,0.198,0.6548,0.4371,0.2911,0.9621,0.9927,8,1
E3706,2023-10-06 10:38:00,2023-10-06 19:31:34.962946,8.33,False,True,33.61,0.8323,Office-B,Absent,1.67,19,65,3.28,2.97,0.4441,3.62,0.7614,1.09,79,52.16,28,2.92,0.743,55,95,2023-04-11 14:30:00,40,49.7,56,90,22,84,79.12,1.56,7.35,3,87.21,5,0.3036,32,71,0.8052,70,72.3,47.08,19.93,6.75,76.27,24.74,0.9682,25.93,0.626,90,61,2,5,93,0.6936,2.98,1.49,79,2.11,-4.69,6.08,87,67,5,77,13,95,80.67,99.06,0.3414,7,66,3,0.8172,2023-10-11 00:26:00,86,37.89,8,5,9,0.7802,2023-05-08 07:09:00,6,4,0.8532,8,0.0878,93.06,6,7,4,0.2881,2023-04-20 05:43:00,42,0.8545,0.8554,67.44,5.32,0.1331,5.31,0,0.2095,0.108,2023-01-15 18:38:00,9,10,0.3281,49,6,0.2639,6,8,0.8971,0.922,10,2,0.5149,0.8571,0.2555,0.4631,0.3426,0.6268,10,10
E4380,2023-03-07 09:43:00,2023-03-07 18:37:22.535244,8.18,True,True,43.87,0.4142,Client-Site,Present,1.43,90,35,4.05,7.11,0.1262,4.93,0.3307,5.62,28,67.38,3,4.66,0.4722,41,72,2023-03-28 15:58:00,38,47.95,85,65,98,90,58.93,3.9,4.5,3,65.25,18,0.0347,38,44,0.4482,63,92.18,64.63,16.22,81.23,82.51,84.5,0.4379,66.05,0.4521,60,83,9,10,33,0.3054,1.64,1.41,83,6.02,0.67,6.42,95,58,7,30,55,14,11.58,80.08,0.1117,6,51,18,0.3842,2023-12-10 04:25:00,61,47.38,45,1,2,0.8887,2023-07-12 10:08:00,7,2,0.9248,10,0.9713,66.28,5,3,7,0.3235,2023-10-03 21:53:00,35,0.1743,0.3938,10.08,3.3,0.664,4.47,6,0.0808,0.1151,2023-11-06 09:46:00,4,4,0.3812,20,1,0.6614,6,7,0.3667,0.7484,9,3,0.8288,0.7002,0.1108,0.6706,0.4481,0.5069,2,3
E2839,2023-11-10 10:35:00,2023-11-10 20:24:34.284392,9.1,True,False,43.54,0.7185,Remote,Absent,0.9,60,0,6.04,0.55,0.7257,0.97,0.1264,4.79,73,51.11,86,3.99,0.298,21,55,2023-04-27 14:28:00,44,28.01,55,25,36,94,108.96,4.17,2.17,6,62.18,87,0.5165,8,55,0.446,22,70.28,26.73,75.17,25.42,4.45,43.65,0.8306,71.74,0.7169,75,51,4,7,32,0.2411,0.88,6.71,16,6.1,1.32,2.13,64,73,4,52,13,29,62.87,93.27,0.3993,1,4,74,0.234,2023-11-16 03:28:00,79,20.02,6,0,6,0.5603,2023-11-02 19:05:00,7,8,0.3573,9,0.561,49.11,4,7,8,0.643,2023-02-14 16:02:00,68,0.3337,0.3515,63.83,3.64,0.9603,7.56,5,0.2631,0.3632,2023-10-11 08:58:00,7,5,0.1788,48,2,0.2562,7,1,0.2331,0.1881,6,4,0.0733,0.0501,0.0692,0.4771,0.4875,0.1485,8,0
E4542,2023-02-14 09:02:00,2023-02-14 18:24:05.143496,8.4,False,False,58.05,0.5913,Office-A,Present,4.75,34,32,0.98,3.06,0.8138,1.9,0.7331,2.04,33,79.12,84,1.55,0.2993,73,96,2023-07-22 20:20:00,25,19.59,45,64,36,61,92.64,3.83,1.43,8,87.62,43,0.6719,0,36,0.9215,98,31.82,19.39,2.39,66.83,74.33,84.05,0.1683,23.37,0.1013,24,10,1,3,2,0.6809,2.38,5.53,34,7.98,1.54,6.97,60,92,9,62,59,52,32.58,14.96,0.5154,5,28,37,0.4917,2023-05-12 21:57:00,43,77.9,11,7,4,0.2874,2023-10-16 11:55:00,5,6,0.5053,6,0.9592,53.87,4,5,8,0.6364,2023-05-24 11:44:00,95,0.6297,0.1133,69.21,4.29,0.9905,3.23,4,0.3172,0.6158,2023-03-05 23:19:00,9,5,0.897,38,5,0.1309,5,5,0.0153,0.2107,7,6,0.9064,0.4151,0.9086,0.788,0.4128,0.1417,8,3
E2224,2023-01-29 10:34:00,2023-01-29 19:13:39.022999,7.7,True,True,57.63,0.696,Client-Site,Absent,2.1,80,10,5.03,5.55,0.7724,2.08,0.0762,3.71,95,88.79,23,4.98,0.5333,22,68,2023-12-13 15:53:00,42,14.12,42,38,52,41,102.09,4.12,4.74,5,23.51,96,0.3343,84,36,0.4142,67,54.16,51.86,4.44,76.2,94.89,29.08,0.7685,77.17,0.9885,85,6,1,2,25,0.8513,5.42,6.17,67,6.51,-3.24,3.17,41,61,8,90,10,7,55.33,87.79,0.9282,9,20,38,0.1821,2023-06-16 22:36:00,86,59.8,15,6,4,0.8258,2023-06-13 15:21:00,1,6,0.4106,3,0.4341,28.94,6,10,6,0.3697,2023-10-30 02:05:00,33,0.8652,0.858,22.29,2.38,0.2319,2.88,7,0.2923,0.753,2023-09-19 06:03:00,3,4,0.0841,25,2,0.787,2,8,0.6125,0.4339,8,5,0.7809,0.6695,0.2352,0.2756,0.2502,0.4199,6,10
E1476,2023-11-04 10:54:00,2023-11-04 19:30:41.752662,7.72,False,True,53.51,0.1109,Office-B,Present,5.18,90,91,4.58,5.6,0.0705,5.23,0.9716,2.01,94,25.34,63,3.39,0.9444,54,40,2023-01-27 00:45:00,8,56.43,34,42,24,62,116.29,3.94,7.03,3,95.66,97,0.5043,47,39,0.3297,45,26.38,72.39,81.36,39.52,90.08,8.06,0.8642,7.99,0.2252,25,47,10,5,20,0.1784,1.64,0.95,9,3.0,-1.14,7.58,82,45,0,74,6,31,14.0,99.53,0.2344,0,61,22,0.6151,2023-07-19 06:48:00,26,29.26,77,5,10,0.7363,2023-04-23 23:03:00,6,0,0.397,3,0.5737,98.27,8,4,1,0.9428,2023-03-12 04:45:00,89,0.6208,0.3321,58.13,2.58,0.152,6.4,10,0.7454,0.1754,2023-04-06 11:47:00,4,10,0.3297,89,1,0.0519,5,8,0.7736,0.8329,1,5,0.1824,0.949,0.4224,0.5875,0.8161,0.2625,3,7
E1890,2023-03-28 09:18:00,2023-03-28 18:03:26.798659,7.98,True,False,46.92,0.1855,Client-Site,Present,3.76,31,85,5.02,5.54,0.0086,2.83,0.3078,3.32,52,44.22,71,3.1,0.6392,0,50,2023-06-14 22:19:00,35,12.1,87,56,86,36,56.91,1.97,7.12,7,98.3,54,0.8189,13,10,0.069,4,25.04,86.87,46.09,56.77,13.49,85.09,0.1373,2.39,0.7481,22,27,10,4,92,0.1544,2.26,7.27,30,6.4,-0.31,7.3,82,6,10,68,2,55,77.24,4.66,0.898,9,4,30,0.595,2023-02-02 11:31:00,56,55.19,31,2,4,0.9799,2023-12-04 21:25:00,5,9,0.1103,7,0.9162,9.74,3,6,3,0.8722,2023-06-04 18:25:00,29,0.5233,0.7291,32.32,1.97,0.2479,5.77,3,0.3538,0.7036,2023-10-29 04:49:00,7,0,0.8704,56,2,0.4095,9,9,0.6325,0.0179,10,0,0.4308,0.6871,0.236,0.8195,0.0687,0.1172,5,3
E1111,2023-09-24 08:00:00,2023-09-24 15:52:24.745250,6.89,True,False,58.75,0.9596,Client-Site,Absent,6.22,78,76,4.58,7.1,0.4363,6.03,0.5243,3.58,91,24.26,35,3.58,0.5242,0,57,2023-01-23 02:07:00,46,46.77,27,93,41,76,64.39,4.96,3.9,3,69.07,0,0.7618,81,28,0.944,31,45.36,20.17,64.95,96.03,24.21,12.04,0.0235,14.84,0.439,18,59,8,7,17,0.2126,5.89,1.69,40,4.26,4.69,7.72,38,22,3,94,78,39,72.16,52.25,0.327,9,20,13,0.5941,2023-11-22 13:02:00,21,69.69,47,1,8,0.1157,2023-01-31 01:04:00,1,0,0.5686,3,0.0423,54.83,7,5,1,0.2911,2023-10-03 15:06:00,1,0.4018,0.3491,5.05,3.48,0.6127,3.84,7,0.6525,0.9226,2023-02-05 07:47:00,3,7,0.4799,47,3,0.2668,6,0,0.5725,0.9604,9,4,0.2739,0.1181,0.0247,0.1581,0.2473,0.9378,9,3
E1919,2023-08-17 10:54:00,2023-08-17 19:45:30.333846,7.97,True,True,53.23,0.5394,Office-B,Present,5.69,35,56,5.02,7.45,0.7161,4.49,0.9203,2.19,39,54.6,84,7.23,0.8506,46,6,2023-04-27 15:18:00,22,64.58,49,38,18,84,105.76,4.69,1.48,3,74.64,84,0.3087,11,89,0.9861,9,53.05,11.07,68.65,18.76,58.77,33.84,0.4581,20.21,0.4683,34,63,5,0,63,0.8351,6.72,5.92,10,6.83,-1.55,4.5,92,80,5,57,88,36,13.21,42.15,0.1199,9,87,1,0.0654,2023-06-27 03:32:00,76,72.9,38,10,3,0.3029,2023-02-06 02:47:00,2,1,0.101,10,0.5372,47.67,2,4,5,0.1968,2023-12-06 07:26:00,56,0.3007,0.3713,26.02,1.54,0.9458,5.91,0,0.0456,0.1445,2023-11-11 16:47:00,2,4,0.5536,99,5,0.5322,1,3,0.4856,0.3545,3,6,0.927,0.3309,0.4924,0.8187,0.0089,0.312,1,2
E4941,2023-09-01 10:51:00,2023-09-01 19:04:23.453323,7.94,False,False,17.06,0.2639,Remote,Present,5.68,80,35,4.95,4.54,0.6442,6.95,0.7706,7.68,30,69.46,12,5.45,0.8986,96,21,2023-03-01 20:58:00,35,67.66,31,39,3,99,86.04,0.68,6.12,9,45.4,97,0.3265,9,0,0.3641,84,44.8,78.46,78.81,66.1,84.57,30.96,0.4335,41.75,0.8393,24,46,6,10,30,0.7812,6.89,1.64,55,7.69,-2.88,6.47,25,74,9,49,74,4,25.74,72.15,0.0455,6,54,48,0.2068,2023-12-12 03:49:00,81,43.54,66,10,2,0.972,2023-04-10 22:46:00,5,3,0.8474,10,0.77,60.38,2,6,3,0.6584,2023-02-12 12:39:00,89,0.9341,0.489,93.85,2.48,0.5729,3.89,6,0.1653,0.8458,2023-02-15 08:19:00,1,2,0.6864,48,10,0.2638,9,7,0.6357,0.864,2,7,0.5466,0.0335,0.0446,0.5679,0.2694,0.907,8,5
E5268,2023-05-13 09:55:00,2023-05-13 19:20:01.471317,9.02,True,False,23.64,0.5715,Office-A,On-Leave,6.12,15,59,5.56,2.3,0.261,4.23,0.957,2.98,75,71.51,88,0.85,0.6242,36,91,2023-12-25 01:18:00,42,67.39,38,91,0,88,50.47,3.06,5.84,5,31.48,28,0.638,52,16,0.5296,50,8.14,54.62,7.23,80.96,22.81,55.82,0.9255,65.02,0.9168,37,85,3,6,78,0.9457,3.64,1.77,25,2.06,3.74,2.81,84,72,2,61,59,100,22.98,25.32,0.5864,7,20,92,0.8157,2023-05-09 05:40:00,87,69.09,93,8,1,0.4435,2023-08-18 12:06:00,4,4,0.9549,9,0.1867,66.82,8,4,2,0.7906,2023-09-23 05:55:00,62,0.7145,0.5629,12.34,1.84,0.6895,0.81,4,0.4465,0.1989,2023-10-24 06:53:00,2,3,0.5836,88,3,0.0824,6,3,0.1089,0.3299,4,5,0.7901,0.0233,0.4926,0.8133,0.3783,0.5411,0,3
