employee_id,punch_in_time,punch_out_time,total_logged_hours_day,late_arrival_flag,early_departure_flag,break_duration_minutes,biometric_match_score,punch_location,attendance_status,overtime_hours,late_start_count_per_week,early_exit_count_per_week,total_hours_per_week,variance_in_work_hours,absenteeism_rate,avg_daily_hours,punctuality_score,meeting_hours_per_week,meeting_counts_per_week,avg_meeting_duration_minutes,back_to_back_meetings_count,after_hours_meetings_count,meeting_accepted_ratio,meeting_organizer_count,meeting_attendee_count_avg,focus_time_hours_per_week,largest_meeting_attendees,recurring_meeting_percentage,messages_sent_per_day,messages_received_per_day,messages_sent_per_week,messages_received_per_week,avg_response_latency_min,communication_burstiness,after_hours_message_ratio,communication_balance,conversation_length_avg,channels_active_count,dm_vs_channel_ratio,emoji_reaction_count,mentions_received_count,message_edit_ratio,urgent_message_count,status_available_percentage,status_busy_percentage,status_away_percentage,status_dnd_percentage,avg_tasks_assigned_per_week,avg_tasks_completed_per_week,task_completion_rate,avg_task_age_days,overdue_task_ratio,overdue_task_count,in_progress_task_count,story_points_committed_per_week,story_points_completed_per_week,unique_projects_count,context_switching_score,logged_hours_per_week,logged_hours_per_day,worklog_entry_count_per_week,avg_worklog_session_duration,worklog_variance,billable_hours_percentage,github_commits_per_day,github_commits_per_week,github_commit_days_active,github_lines_added_per_week,github_lines_deleted_per_week,github_lines_changed_total,github_avg_commit_size,github_commit_message_length_avg,github_weekend_commit_ratio,github_prs_per_week,github_prs_merged_count,github_prs_open_count,github_pr_merge_rate,github_avg_pr_merge_time_hours,github_pr_comment_count_avg,github_pr_review_cycles_avg,github_pr_size_lines_avg,github_reviews_per_week,github_review_comments_given,github_review_approval_rate,github_review_response_time_hours,github_issues_created_per_week,github_issues_closed_per_week,github_issue_close_rate,github_repo_context_switching,github_activity_consistency,github_primary_repo_percentage,github_language_diversity,emails_sent_per_day,emails_received_per_day,email_response_rate,email_avg_response_time_hours,unread_email_count,emails_with_attachments_ratio,email_importance_high_ratio,email_thread_depth_avg,after_hours_email_ratio,calendar_fragmentation_score,deep_work_hours_per_week,collaboration_network_size,network_centrality_score,internal_external_comm_ratio,avg_Jira_ticket_resolution_time_days,jira_tickets_created_per_week,jira_tickets_closed_per_week,jira_ticket_reopen_rate,jira_bug_count_per_week,productivity_index,collaboration_score,focus_efficiency,multitasking_load,burnout_risk_score,work_life_balance_score,stress_indicator,workload_intensity,consistency_score,morning_activity_ratio,afternoon_activity_ratio,evening_activity_ratio,night_activity_ratio,weekend_work_ratio,Wellbeing Score,Overall Effciency score
E5839,2023-03-17 09:14:00,2023-03-17 17:41:23.410265,7.71,False,True,45.09,0.1287,Client-Site,On-Leave,6.25,80,75,7.23,2.52,0.1086,6.85,0.0841,2.6,73,27.82,60,3.92,0.8108,1,90,2023-08-28 21:36:00,28,60.11,65,82,54,91,103.12,1.45,4.83,6,43.16,10,0.7303,99,9,0.7076,45,57.31,30.38,39.88,66.7,88.02,90.72,0.9885,21.94,0.3888,58,32,2,7,56,0.4757,0.98,2.39,5,2.86,0.58,2.68,26,5,1,90,86,96,9.99,78.21,0.378,0,70,72,0.5359,2023-08-23 07:37:00,65,23.09,10,4,6,0.3001,2023-12-12 10:25:00,9,1,0.6358,8,0.5386,88.76,3,8,10,0.8108,2023-11-14 11:02:00,71,0.1233,0.3791,51.21,4.89,0.8174,1.85,8,0.1893,0.6147,2023-12-14 05:21:00,9,2,0.8906,6,6,0.9293,0,0,0.6654,0.7193,4,5,0.5811,0.8438,0.1178,0.8545,0.4092,0.7093,7,6
E5294,2023-12-29 09:30:00,2023-12-29 19:07:55.975692,9.01,False,True,37.54,0.7849,Remote,Absent,3.9,71,67,4.28,4.6,0.5133,4.93,0.7821,4.67,3,44.97,24,5.76,0.9991,5,40,2023-09-07 23:08:00,8,20.74,7,47,34,84,31.67,1.31,6.14,2,91.15,51,0.1044,25,66,0.9166,65,80.49,46.68,98.58,58.01,85.27,79.8,0.808,51.08,0.71,57,51,8,3,52,0.7847,5.26,1.32,15,6.85,-1.29,3.32,82,61,9,21,96,42,86.74,24.65,0.1781,7,74,56,0.4408,2023-05-19 16:42:00,30,37.74,42,8,1,0.8573,2023-07-14 01:15:00,10,10,0.7194,3,0.9519,30.51,2,9,0,0.4873,2023-06-27 13:05:00,17,0.5779,0.8965,37.99,3.25,0.7717,1.48,0,0.0335,0.7557,2023-01-31 13:06:00,10,3,0.5424,93,2,0.7417,7,1,0.2901,0.8396,6,3,0.6521,0.5481,0.4384,0.4562,0.1591,0.9343,3,6
E5036,2023-03-08 10:35:00,2023-03-08 19:21:55.440293,7.81,True,True,58.29,0.5684,Remote,Absent,7.86,51,97,3.7,5.39,0.4176,2.19,0.337,2.06,83,66.67,47,3.95,0.2011,18,11,2023-08-18 13:40:00,20,84.26,66,77,30,4,101.77,0.74,2.38,6,46.11,40,0.5179,20,71,0.882,89,78.71,94.32,64.32,92.07,8.5,19.89,0.0253,23.05,0.7259,36,16,0,6,37,0.6691,2.64,4.77,98,6.13,-2.89,7.78,4,44,4,79,26,46,95.25,41.21,0.4589,1,16,70,0.8843,2023-06-05 16:02:00,80,50.25,54,6,2,0.1621,2023-09-04 23:00:00,9,10,0.4406,3,0.1178,22.57,6,8,8,0.6776,2023-07-06 13:50:00,47,0.372,0.9962,70.77,5.95,0.7285,7.28,8,0.0006,0.5486,2023-04-07 15:33:00,3,4,0.9799,7,0,0.8242,7,7,0.6577,0.0845,9,2,0.8904,0.0352,0.5574,0.3619,0.0417,0.9327,6,7
E5076,2023-05-17 10:29:00,2023-05-17 18:55:12.680939,7.87,False,False,34.22,0.2068,Office-B,On-Leave,4.07,5,71,1.37,4.77,0.2556,6.16,0.7681,4.26,30,21.75,33,3.14,0.7755,46,66,2023-07-03 16:21:00,49,14.3,49,84,17,63,51.28,2.42,6.54,2,12.01,42,0.6736,95,23,0.3344,7,85.56,70.86,89.41,39.43,90.91,50.98,0.9191,92.54,0.5478,34,87,2,2,76,0.9504,6.19,7.55,0,0.92,-2.47,7.18,77,38,2,65,38,37,8.46,88.25,0.6627,5,36,82,0.2932,2023-10-06 11:56:00,82,48.4,46,2,1,0.7706,2023-03-08 11:06:00,7,5,0.6949,4,0.9829,29.37,10,0,7,0.2843,2023-12-27 06:13:00,76,0.4459,0.274,53.92,3.54,0.3764,1.8,1,0.0538,0.4796,2023-09-23 23:56:00,8,1,0.8295,29,9,0.6916,8,4,0.492,0.4848,8,2,0.067,0.5524,0.7886,0.799,0.0658,0.1987,10,8
E3498,2023-04-05 10:37:00,2023-04-05 20:17:08.640432,9.0,True,True,40.14,0.2265,Office-B,Present,5.97,42,80,0.64,6.71,0.4016,2.7,0.6412,1.24,32,21.38,38,3.77,0.9392,89,37,2023-09-15 05:00:00,22,30.01,79,11,27,43,56.73,0.16,3.9,0,76.91,64,0.3903,78,35,0.1171,96,87.74,16.89,10.0,51.47,37.86,81.14,0.641,49.99,0.0945,23,97,5,8,85,0.8703,3.12,0.77,11,0.6,-2.15,6.08,37,5,5,43,81,48,94.58,20.33,0.7154,10,74,81,0.9675,2023-03-13 02:50:00,34,53.26,84,0,2,0.062,2023-06-20 00:29:00,3,2,0.1888,10,0.0622,52.35,7,6,5,0.2056,2023-10-08 23:26:00,0,0.4922,0.3999,94.88,1.23,0.8772,6.02,3,0.6454,0.5899,2023-12-28 16:14:00,10,4,0.249,94,5,0.5843,8,10,0.63,0.2697,6,1,0.4201,0.2492,0.358,0.7425,0.6477,0.1927,0,9
E2809,2023-11-14 10:50:00,2023-11-14 19:43:21.446453,8.47,False,False,25.04,0.552,Office-A,On-Leave,4.79,93,54,0.75,5.09,0.8337,2.49,0.7116,7.64,20,78.09,15,2.18,0.8578,48,23,2023-05-12 12:01:00,34,56.86,15,34,78,31,49.98,2.46,1.14,0,74.59,12,0.1472,3,91,0.618,4,11.51,83.32,37.77,64.34,42.31,76.17,0.7646,9.97,0.6086,9,16,7,6,57,0.0367,3.69,4.46,57,7.27,-4.42,6.52,14,19,2,84,48,99,68.95,44.47,0.554,5,95,35,0.2011,2023-02-27 06:21:00,20,87.83,56,2,8,0.4442,2023-01-25 05:15:00,6,9,0.4549,9,0.7946,17.85,7,1,10,0.8889,2023-03-18 12:49:00,86,0.7875,0.8852,22.62,5.34,0.0398,0.73,2,0.6154,0.9271,2023-11-05 03:24:00,3,2,0.0533,74,7,0.1257,0,6,0.7783,0.3142,9,1,0.0754,0.2127,0.9512,0.4171,0.0394,0.1065,2,5
E5822,2023-04-21 09:15:00,2023-04-21 18:12:21.543294,8.56,False,True,23.92,0.0473,Office-A,On-Leave,1.85,31,44,3.37,5.58,0.6495,3.62,0.976,2.33,23,50.54,47,0.62,0.6396,39,33,2023-07-04 00:06:00,12,98.62,27,77,97,2,9.63,1.78,4.86,6,33.33,24,0.287,11,79,0.9727,21,21.16,35.0,53.43,3.49,40.48,0.08,0.4811,43.31,0.1072,98,30,7,4,51,0.0093,4.68,0.69,95,4.04,-4.99,1.02,51,6,4,42,96,81,34.69,51.45,0.9054,5,15,27,0.2628,2023-04-28 21:07:00,85,34.84,47,2,7,0.3921,2023-01-15 21:06:00,6,2,0.3228,4,0.6981,66.99,0,7,8,0.2631,2023-03-22 17:21:00,37,0.9179,0.3705,54.11,3.08,0.9537,0.82,1,0.6499,0.0232,2023-03-06 15:48:00,4,6,0.1284,24,7,0.5547,8,3,0.4986,0.2621,7,4,0.8336,0.9816,0.4743,0.179,0.4947,0.3942,0,9
E3369,2023-10-24 08:41:00,2023-10-24 17:59:10.748895,8.97,False,False,20.11,0.4506,Client-Site,Present,4.33,83,73,6.1,4.17,0.6647,7.62,0.5949,5.2,53,23.17,73,1.17,0.9393,39,74,2023-02-17 21:10:00,20,70.23,100,63,34,53,89.33,2.69,0.73,8,55.71,27,0.5325,48,72,0.2382,59,61.34,77.83,89.95,13.68,24.6,81.96,0.0011,40.26,0.9645,92,45,0,3,61,0.6863,1.89,7.57,6,4.48,-3.1,7.89,42,99,8,93,78,29,8.12,89.36,0.9655,4,45,7,0.2003,2023-12-09 12:58:00,57,56.96,24,5,6,0.8883,2023-01-27 22:45:00,7,6,0.9736,2,0.0443,63.52,9,9,8,0.7349,2023-03-23 07:37:00,52,0.7123,0.0495,69.15,6.09,0.0987,4.7,5,0.6633,0.9548,2023-12-31 21:44:00,8,9,0.6155,63,6,0.0442,3,2,0.6667,0.1154,2,9,0.3409,0.0972,0.6845,0.1923,0.458,0.32,2,1
E4250,2023-12-05 09:16:00,2023-12-05 18:30:26.377568,8.34,True,False,53.99,0.1301,Office-B,Present,1.97,8,47,7.33,4.11,0.9913,3.5,0.7875,7.67,17,23.4,16,3.12,0.4235,29,14,2023-10-14 14:50:00,19,91.08,40,51,85,68,80.65,4.5,6.15,10,12.72,94,0.9629,62,86,0.3252,3,27.96,2.8,4.88,23.42,34.25,76.71,0.6514,85.79,0.2168,13,36,6,3,17,0.6729,1.8,3.32,5,7.21,2.71,2.54,87,30,7,20,93,63,29.0,77.79,0.5511,6,74,81,0.5523,2023-04-07 21:54:00,71,77.54,69,3,6,0.8187,2023-07-30 12:26:00,2,3,0.9078,6,0.2478,56.08,0,0,1,0.9485,2023-12-20 04:09:00,58,0.6902,0.0741,23.83,3.68,0.4096,1.45,1,0.6624,0.1385,2023-02-23 04:27:00,3,9,0.722,37,9,0.9742,9,5,0.6305,0.7313,1,2,0.7621,0.7031,0.8351,0.9283,0.2774,0.8467,8,4
E3005,2023-04-13 08:57:00,2023-04-13 17:40:12.616639,8.08,False,True,38.69,0.1497,Office-B,Present,6.43,19,76,1.35,4.72,0.334,7.75,0.5232,6.04,71,42.15,28,6.49,0.8158,36,74,2023-05-09 01:14:00,39,11.42,43,89,21,36,71.67,3.54,5.41,3,25.97,24,0.6427,24,84,0.3818,100,0.43,44.73,91.67,48.63,46.4,67.19,0.9226,85.16,0.6747,11,78,0,7,95,0.0485,4.2,3.61,9,5.81,3.65,2.05,54,33,4,16,96,62,22.06,40.2,0.1282,0,89,70,0.5163,2023-07-19 13:56:00,52,89.77,25,3,2,0.3653,2023-03-23 00:13:00,10,3,0.6471,4,0.9962,34.88,10,0,1,0.6316,2023-05-31 05:06:00,65,0.8873,0.2861,4.05,5.27,0.6935,2.25,4,0.2851,0.1068,2023-08-30 16:14:00,5,0,0.4975,96,1,0.6018,2,0,0.5689,0.7835,6,8,0.7707,0.9459,0.4828,0.0263,0.7034,0.7727,7,6
E2349,2023-02-23 08:01:00,2023-02-23 17:13:31.418149,8.49,False,False,42.84,0.6224,Office-A,Present,1.93,75,56,6.46,3.57,0.0005,5.32,0.8476,1.19,75,81.38,56,1.09,0.6041,52,16,2023-08-03 00:38:00,6,78.62,98,38,23,93,114.31,2.2,3.39,7,10.93,88,0.6011,78,38,0.0992,58,49.26,69.58,51.92,15.3,46.16,41.56,0.5427,43.45,0.0211,89,99,4,9,64,0.6507,6.7,3.91,81,6.9,-3.42,2.36,30,57,7,25,37,40,95.14,13.58,0.5341,1,59,7,0.316,2023-03-13 09:51:00,69,93.55,66,6,3,0.0602,2023-10-14 01:43:00,0,6,0.3001,8,0.3935,98.33,6,0,9,0.9173,2023-09-28 16:51:00,63,0.5657,0.6293,23.38,4.41,0.277,5.91,5,0.1874,0.8226,2023-09-04 09:51:00,6,10,0.4729,49,7,0.4441,4,8,0.9885,0.8905,6,2,0.0895,0.8996,0.0102,0.4493,0.51,0.5292,5,0
E1630,2023-05-30 08:36:00,2023-05-30 18:12:53.846145,8.91,True,False,42.16,0.7082,Office-B,Absent,7.92,7,81,5.26,7.54,0.5382,6.32,0.9325,1.03,55,72.65,63,3.09,0.4089,38,13,2023-11-27 00:31:00,23,88.7,31,0,12,23,20.62,2.93,7.61,1,77.27,47,0.6781,2,97,0.716,50,73.97,32.1,74.07,53.17,84.89,7.46,0.8793,37.03,0.3435,54,23,3,10,47,0.804,1.22,4.41,2,6.92,0.56,7.38,73,96,6,57,36,37,51.16,63.53,0.0223,0,80,25,0.6308,2023-09-19 01:06:00,62,52.41,95,2,8,0.509,2023-07-04 01:22:00,4,1,0.1501,2,0.6623,73.66,9,0,8,0.5362,2023-04-27 10:09:00,90,0.4043,0.164,79.6,4.45,0.7194,4.55,8,0.7445,0.9983,2023-04-14 06:49:00,3,2,0.0989,38,8,0.7633,0,8,0.6132,0.2953,4,0,0.196,0.2472,0.1172,0.9152,0.5653,0.0846,9,0
E2261,2023-04-04 09:17:00,2023-04-04 19:16:04.830007,9.36,False,True,37.25,0.197,Office-A,Present,7.47,79,99,3.66,7.38,0.4241,3.06,0.3139,1.75,67,21.58,65,6.21,0.7568,93,34,2023-01-29 18:15:00,44,27.31,26,99,13,22,34.4,2.36,2.45,4,78.43,83,0.0221,19,62,0.4838,83,3.95,60.55,15.41,65.56,19.86,93.88,0.2697,19.39,0.732,25,23,9,0,14,0.4163,2.99,4.53,60,5.85,3.53,3.72,39,93,3,66,72,14,3.61,90.13,0.1284,8,90,89,0.7395,2023-05-21 03:43:00,74,93.5,45,1,0,0.8158,2023-10-02 17:42:00,0,2,0.8667,10,0.5442,49.09,5,3,4,0.7694,2023-11-07 23:17:00,27,0.147,0.6291,29.9,4.91,0.6036,5.1,0,0.2709,0.2764,2023-07-01 23:52:00,1,1,0.7146,95,8,0.3802,0,3,0.0755,0.2606,2,7,0.1765,0.1583,0.2474,0.6171,0.6788,0.4855,4,1
